GCA_Accession	Assembly_Accession	Assembly_Name	Organism	Genus	Species	TaxID	Assembly_Level	Total_Length	Contig_N50	Scaffold_N50	BioProject	BioSample	Submission_Date	Release_Date	File_Size_MB	Filename
GCA_965137195.1	GCA_965137195.1	CIP109040T	Deinococcus saxicola (bacteria)	Unknown	Deinococcus saxicola	249406	Scaffold	0	21976	21976	Unknown	SAMEA117660448	2025/02/13 00:00	Unknown	1.29	GCA_965137195.1_CIP109040T_genomic.fna.gz
GCA_000252445.1	GCA_000252445.1	ASM25244v1	Deinococcus gobiensis I-0 (bacteria)	Unknown	Deinococcus gobiensis	745776	Complete Genome	0	3137147	3137147	Unknown	SAMN02603039	2012/03/12 00:00	Unknown	1.2	GCA_000252445.1_ASM25244v1_genomic.fna.gz
GCA_965139285.1	GCA_965139285.1	CIP109039T	Deinococcus marmoris (bacteria)	Unknown	Deinococcus marmoris	249408	Scaffold	0	20407	20640	Unknown	SAMEA117660447	2025/02/13 00:00	Unknown	1.34	GCA_965139285.1_CIP109039T_genomic.fna.gz
GCA_003173015.1	GCA_003173015.1	ASM317301v1	Deinococcus irradiatisoli (bacteria)	Unknown	Deinococcus irradiatisoli	2202254	Complete Genome	0	3052043	3052043	Unknown	SAMN09223206	2018/05/27 00:00	Unknown	0.83	GCA_003173015.1_ASM317301v1_genomic.fna.gz
GCA_011604805.1	GCA_011604805.1	ASM1160480v1	Deinococcus radiodurans (bacteria)	Unknown	Deinococcus radiodurans	1299	Complete Genome	0	2648775	2648775	Unknown	SAMN14371193	2020/03/22 00:00	Unknown	0.9	GCA_011604805.1_ASM1160480v1_genomic.fna.gz
GCA_007990775.1	GCA_007990775.1	ASM799077v1	Deinococcus cellulosilyticus NBRC 106333 = KACC 11606 (bacteria)	Unknown	Deinococcus cellulosilyticus	1223518	Contig	0	176104	176104	Unknown	SAMD00169718	2019/08/01 00:00	Unknown	1.71	GCA_007990775.1_ASM799077v1_genomic.fna.gz
GCA_007280555.1	GCA_007280555.1	ASM728055v1	Deinococcus detaillensis (bacteria)	Unknown	Deinococcus detaillensis	2592048	Contig	0	122653	122653	Unknown	SAMN12259768	2019/07/22 00:00	Unknown	1.12	GCA_007280555.1_ASM728055v1_genomic.fna.gz
GCA_014648115.1	GCA_014648115.1	ASM1464811v1	Deinococcus seoulensis (bacteria)	Unknown	Deinococcus seoulensis	1837379	Contig	0	121654	121654	Unknown	SAMD00245320	2020/09/12 00:00	Unknown	1.21	GCA_014648115.1_ASM1464811v1_genomic.fna.gz
GCA_913775325.1	GCA_913775325.1	SP86_3_metabat2_genome_mining.5	uncultured Deinococcus sp. (bacteria)	Unknown	uncultured Deinococcus sp.	158789	Contig	0	13971	13971	Unknown	SAMEA8944505	2021/11/11 00:00	Unknown	0.89	GCA_913775325.1_SP86_3_metabat2_genome_mining.5_genomic.fna.gz
GCA_031454225.1	GCA_031454225.1	ASM3145422v1	Deinococcus soli (ex Cha et al. 2016) (bacteria)	Unknown	Deinococcus soli (ex Cha et al. 2016)	1309411	Contig	0	321217	321217	Unknown	SAMN35309395	2023/09/13 00:00	Unknown	2.44	GCA_031454225.1_ASM3145422v1_genomic.fna.gz
GCA_005774765.1	GCA_005774765.1	ASM577476v1	Deinococcus metallilatus (bacteria)	Unknown	Deinococcus metallilatus	1211322	Contig	0	246233	246233	Unknown	SAMN11534323	2019/05/23 00:00	Unknown	1.12	GCA_005774765.1_ASM577476v1_genomic.fna.gz
GCA_019718715.1	GCA_019718715.1	ASM1971871v1	Deinococcus sp. RIT780 (bacteria)	Unknown	Deinococcus sp. RIT780	2870472	Contig	0	19530	19530	Unknown	SAMN20773076	2021/08/22 00:00	Unknown	7.23	GCA_019718715.1_ASM1971871v1_genomic.fna.gz
GCA_030523985.1	GCA_030523985.1	ASM3052398v1	Deinococcus sp. (bacteria)	Unknown	Deinococcus sp.	47478	Scaffold	0	15465	23354	Unknown	SAMN36400365	2023/07/24 00:00	Unknown	0.82	GCA_030523985.1_ASM3052398v1_genomic.fna.gz
GCA_000378445.1	GCA_000378445.1	ASM37844v1	Deinococcus aquatilis DSM 23025 (bacteria)	Unknown	Deinococcus aquatilis	1121378	Scaffold	0	83141	89445	Unknown	SAMN02440995	2013/04/23 00:00	Unknown	1.41	GCA_000378445.1_ASM37844v1_genomic.fna.gz
GCA_033088415.1	GCA_033088415.1	ASM3308841v1	Deinococcus arenicola (bacteria)	Unknown	Deinococcus arenicola	2994950	Scaffold	0	58242	82697	Unknown	SAMN31722097	2023/10/27 00:00	Unknown	2.11	GCA_033088415.1_ASM3308841v1_genomic.fna.gz
GCA_001424185.1	GCA_001424185.1	Leaf326	Deinococcus sp. Leaf326 (bacteria)	Unknown	Deinococcus sp. Leaf326	1736338	Scaffold	0	272252	272252	Unknown	SAMN04151728	2015/11/02 00:00	Unknown	1.27	GCA_001424185.1_Leaf326_genomic.fna.gz
GCA_022344005.1	GCA_022344005.1	ASM2234400v1	Deinococcus sp. KNUC1210 (bacteria)	Unknown	Deinococcus sp. KNUC1210	2917691	Complete Genome	0	2798668	2798668	Unknown	SAMN25877526	2022/02/20 00:00	Unknown	2.53	GCA_022344005.1_ASM2234400v1_genomic.fna.gz
GCA_965137215.1	GCA_965137215.1	CIP109153T	Deinococcus deserti (bacteria)	Unknown	Deinococcus deserti	310783	Scaffold	0	150555	150555	Unknown	SAMEA117660452	2025/02/12 00:00	Unknown	1.08	GCA_965137215.1_CIP109153T_genomic.fna.gz
GCA_042681105.1	GCA_042681105.1	ASM4268110v1	Deinococcus malanensis (bacteria)	Unknown	Deinococcus malanensis	1706855	Contig	0	3133646	3133646	Unknown	SAMN43282639	2024/10/06 00:00	Unknown	1.38	GCA_042681105.1_ASM4268110v1_genomic.fna.gz
GCA_042653785.1	GCA_042653785.1	ASM4265378v1	Deinococcus hohokamensis (bacteria)	Unknown	Deinococcus hohokamensis	309883	Contig	0	313309	313309	Unknown	SAMN43283092	2024/10/05 00:00	Unknown	1.12	GCA_042653785.1_ASM4265378v1_genomic.fna.gz
GCA_040361885.1	GCA_040361885.1	ASM4036188v1	Deinococcus xinjiangensis (bacteria)	Unknown	Deinococcus xinjiangensis	457454	Contig	0	63491	63491	Unknown	SAMD00541788	2024/03/26 00:00	Unknown	2.43	GCA_040361885.1_ASM4036188v1_genomic.fna.gz
GCA_014645575.1	GCA_014645575.1	ASM1464557v1	Deinococcus wulumuqiensis (bacteria)	Unknown	Deinococcus wulumuqiensis	980427	Scaffold	0	35867	64036	Unknown	SAMD00245159	2020/09/12 00:00	Unknown	0.96	GCA_014645575.1_ASM1464557v1_genomic.fna.gz
